school_name,address,mascot,colors,f2_colors
Warner Robins High School,"401 South Davis Drive Warner Robins, GA 31088",Demons,Cardinal & White,"cardinal, white"
Dr. Leila Denmark High School,"645 Mullinax Road Alpharetta, GA 30004",Danes,"Carolina Blue, Navy & White","carolina blue, navy"
Pope High School,"3001 Hembree Road Marietta, GA 30062",Greyhounds,Carolina Blue & Navy,"carolina blue, navy"
Meadowcreek High School,"4455 Steve Reynolds Blvd Norcross, GA 30093",Mustangs,"Carolina Blue, White & Navy","carolina blue, white"
Starr's Mill High School,"193 Panther Path Fayetteville, GA 30215-2950",Panthers,"Columbia Blue, Black & White","columbia blue, black"
Johnson High School,"3155 Robert Wood Johnson Drive Gainesville, GA 30507",Knights,"Columbia Blue, Navy & White","columbia blue, navy"
Lovejoy High School,"1587 McDonough Road Hampton, GA 30228",Wildcats,Columbia Blue & Navy,"columbia blue, navy"
Glenn Hills High School,"2840 Glenn Hills Drive Augusta, GA 30906-3276",Spartans,Columbia Blue & Silver,"columbia blue, silver"
Camden County High School,"6300 Laurel Island Parkway Athletic Department Kingsland, GA 31548",Wildcats,Columbia Blue & White,"columbia blue, white"
Long County High School,"1844 GA HWY 57 Ludowici, GA 31316",Blue Tide,Columbia Blue & White,"columbia blue, white"
Callaway High School,"221 Whitfield Road Hogansville, GA 30230-3209",Cavaliers,"Crimson, Black & White","crimson, black"
Lambert High School,"805 Nichols Road Suwanee, GA 30024",Longhorns,"Crimson, Black & White","crimson, black"
Carver High School,"3100 8th Street Columbus, GA 31906",Tigers,Crimson & Columbia Blue,"crimson, columbia blue"
Christian Heritage School,"1600 Martin Luther King Jr. Blvd Dalton, GA 30721",Lions,Crimson & Gold,"crimson, gold"
Holy Innocents' Episcopal School,"805 Mount Vernon Highway, NW Atlanta, GA 30327",Golden Bears,Crimson & Gold,"crimson, gold"
Hillgrove High School,"4165 Luther Ward Road Powder Springs, GA 30127",Hawks,Crimson & Silver,"crimson, silver"
M. L. King High School,"3991 Snapfinger Road Lithonia, GA 30038",Lions,Crimson & Silver,"crimson, silver"
Lowndes High School,"1606 Norman Drive Valdosta, GA 31601-3598",Vikings,Crimson & White,"crimson, white"
Greenbrier High School,"5114 Riverwood Parkway Evans, GA 30809-6628",Wolf Pack,"Dark Green, Gray & Gold","dark green, gray"
Eastside High School,"140 Highway 142 Covington, GA 30014",Eagles,Dark Green & Silver,"dark green, silver"
Griffin High School,"1617 West Poplar Street Griffin, GA 30224",Bears,Forest Green & Gold,"forest green, gold"
Aquinas High School,"1920 Highland Avenue Augusta, GA 30904-5305",Fightin' Irish,Forest Green & Vegas Gold,"forest green, vegas gold"
Morrow High School,"4930 Steele Road Ellenwood, GA 30294",Mustangs,Forest Green & Vegas Gold,"forest green, vegas gold"
Ola High School,"357 North Ola Road McDonough, GA 30252",Mustangs,Forest Green & Vegas Gold,"forest green, vegas gold"
Athens Academy,"1281 Spartan Lane Athens, GA 30606",Spartans,Forest Green & White,"forest green, white"
North Hall High School,"4885 Mt. Vernon Road Gainesville, GA 30506",Trojans,"Forest Green, White, Black & Silver","forest green, white"
Greene County High School,"1002 South Main Street Greensboro, GA 30642",Tigers,"Gold, Black & White","gold, black"
Maynard Jackson High School,"801 Glenwood Avenue Atlanta, GA 30316",Jaguars,Gold & Cardinal,"gold, cardinal"
Jefferson County High School,"1157 Warrior Trail Louisville, GA 30434",Warriors,"Gold, Navy & White","gold, navy"
Northwest Classical Academy,"115 Brooklyn Dr Dallas, Georgia 30132",Spartans,"Gold, Navy, Gray","gold, navy"
Hardaway High School,"2901 College Drive Columbus, GA 31906",Golden Hawks,Gold & Scarlet,"gold, scarlet"
Butler High School,"2011 Lumpkin Road Augusta, GA 30906",Bulldogs,"Gold, White & Black","gold, white"
Walnut Grove High School,"4863 Gutherie Cemetery Road Loganville, GA 30052",Warriors,"Green, Black & Silver","green, black"
West Forsyth High School,"4155 Drew Road Cumming, GA 30040-9441",Wolverines,"Green, Navy & Vegas Gold","green, navy"
Rutland High School,"6250 Skipper Road Macon, GA 31216",Hurricanes,"Green, Orange & White","green, orange"
Stockbridge High School,"1151 Old Conyers Road Stockbridge, GA 30281",Tigers,Green & Orange,"green, orange"
Collins Hill High School,"50 Taylor Road Suwanee, GA 30024",Eagles,"Green, Silver, Black & White","green, silver"
Kennesaw Mountain High School,"1898 Kennesaw Due West Road Kennesaw, GA 30152",Mustangs,"Green, Silver & Black","green, silver"
Drew Charter School,"300 Eva Davis Way Atlanta, GA 30317",Eagles,Green & Vegas Gold,"green, vegas gold"
Adairsville High School,"519 Old Highway 41, NW Adairsville, GA 30103",Tigers,"Green, White & Vegas Gold","green, white"
Echols County High School,"190 Highway 94, East Post Office Box 40 Statenville, GA 31648",Wildcats,Green & White,"green, white"
Franklin County High School,"6570 Highway 145 Carnesville, GA 30521",Lions,Green & White,"green, white"
T.W. Josey Comp. High School,"1701 15th Street St Eagles Way Augusta, GA 30901",Eagles,"Green, White & Gold","green, white"
Murray County High School,"1001 Green Road Chatsworth, GA 30705-2011",Indians,Green & White,"green, white"
Roswell High School,"11595 King Road Roswell, GA 30075",Hornets,"Green, White & Black","green, white"
Seminole County High School,"5582 Highway 39 Donalsonville, GA 39845-6202",Indians,Green & White,"green, white"
Westminster School,"1424 W. Paces Ferry Rd, NW Atlanta, GA 30327-2486",Wildcats,Green & White,"green, white"
Windsor Forest High School,"12419 Largo Dr Savannah, GA 31419",Knights,Green & White,"green, white"
Blessed Trinity High School,"11320 Woodstock Road Roswell, GA 30075-2548",Titans,Hunter Green & Vegas Gold,"hunter green, vegas gold"
Grayson High School,"50 Hope Hollow Road Loganville, GA 30052",Rams,"Hunter Green, Vegas Gold & Navy","hunter green, vegas gold"
McIntosh High School,"201 Walt Banks Road Peachtree City, GA 30269",Chiefs,"Kelly Green, Black & White","kelly green, black"
Pataula Charter Academy,"18637 Hartford Street Post Office Box 332 Edison, GA 39846",Panthers,"Kelly Green, Black, Silver & White","kelly green, black"
Georgia School for the Deaf,"232 Perry Farm Road SW Cave Spring, GA 30124",Tigers,Kelly Green & Gold,"kelly green, gold"
Pickens High School,"500 Dragon Drive Jasper, GA 30143",Dragons,Kelly Green & White,"kelly green, white"
Brookwood High School,"1255 Dogwood Road Snellville, GA 30078-2249",Broncos,Maroon & Gold,"maroon, gold"
Dade County High School,"300 Tradition Lane Trenton, GA 30752",Wolverines,Maroon & Gold,"maroon, gold"
Hancock Central High School,"11311 GA Hwy 15 North Sparta, GA 31087",Bulldogs,Maroon & Gold,"maroon, gold"
Tucker High School,"5036 LaVista Road Tucker, GA 30084",Tigers,"Maroon, Gold & White","maroon, gold"
Walker School,"700 Cobb Parkway, North Marietta, GA 30062-2404",Wolverines,Maroon & Gold,"maroon, gold"
Woody Gap School,"2331 State Highway 60 Suches, GA 30572-2903",Falcons,Maroon & Gold,"maroon, gold"
Carver High School,"55 McDonough Blvd SE Atlanta, GA 30315",Panthers,"Maroon, Gray & White","maroon, gray"
Central High School,"113 Central Road Carrollton, GA 30116",Lions,Maroon & Gray,"maroon, gray"
Heard County High School,"545 main street franklin, GA 30217",Braves,Maroon & Gray,"maroon, gray"
Southwest Atlanta Christian Academy,"3911 Campbellton Road, SW Atlanta, GA 30331-5053",Warriors,Maroon & Gray,"maroon, gray"
Towers High School,"3919 Brookcrest Circle Decatur, GA 30032-3815",Titans,Maroon & Gray,"maroon, gray"
Union Grove High School,"120 East Lake Road McDonough, GA 30252-4812",Wolverines,Maroon & Gray,"maroon, gray"
Davidson Fine Arts Magnet School,"615 Twelfth Street Augusta, GA 30901-2115",Titans,"Maroon, Silver & White","maroon, silver"
Lakeside High School,"533 Blue Ridge Drive Evans, GA 30809-9299",Panthers,Maroon & Silver,"maroon, silver"
Southeast Whitfield High School,"1954 Riverbend Road SE Dalton, GA 30721-5517",Raiders,Maroon & Silver,"maroon, silver"
Dawson County High School,"1665 Perimeter Road Dawsonville, GA 30534",Tigers,Maroon & Vegas Gold,"maroon, vegas gold"
Vidalia High School,"901 North Street West Vidalia, GA 30474",Indians,"Maroon, Vegas Gold & Black","maroon, vegas gold"
Benedictine Military School,"6502 Seawright Drive Savannah, GA 31406",Cadets,Maroon & White,"maroon, white"
Coffee High School,"159 Trojan Way Douglas, GA 31533",Trojans,Maroon & White,"maroon, white"
Dougherty Comp High School,"1800 Pearce Avenue Albany, GA 31705",Trojans,Maroon & White,"maroon, white"
Perry High School,"1307 North Avenue Perry, GA 31069",Panthers,"Maroon, White & Gold","maroon, white"
Savannah Early College,"400 Pennsylvania Avenue Savannah, GA 31404",Cobras,Maroon & White,"maroon, white"
Pebblebrook High School,"991 Old Alabama Road SW Mableton, GA 30126-4199",Falcons,"Navy, Burgundy & White (Black/Gold (Accent color))","navy, burgundy"
Woodstock High School,"2010 Towne Lake Hills South Drive Woodstock, GA 30189",Wolverines,"Navy, Cardinal & White","navy, cardinal"
Cambridge High School,"2845 Bethany Bend Milton, GA 30004",Bears,"Navy, Carolina Blue & White","navy, carolina blue"
North Cobb Christian School,"4500 Eagle Drive Kennesaw, GA 30144",Eagles,"Navy, Carolina Blue & White","navy, carolina blue"
Webster County High School,"7168 Washington Street Preston, GA 31824",Bobcats,Navy & Carolina Blue,"navy, carolina blue"
Cedar Grove High School,"2360 River Road Ellenwood, GA 30294-1199",Saints,Navy & Columbia Blue,"navy, columbia blue"
Apalachee High School,"940 Haymon Morris Road Winder, GA 30680",Wildcats,Navy & Gold,"navy, gold"
Eagle's Landing Christian,"2400 Highway 42 North McDonough, GA 30253",Chargers,Navy & Gold,"navy, gold"
Elite Scholars Academy,"7923 Fielder Road Jonesboro, GA 30236",Royal Knights,"Navy, Gold & White","navy, gold"
The Galloway School,"215 Chastain Park Avenue NW Atlanta, GA 30342",Scots,Navy & Gold,"navy, gold"
Mt. Bethel Christian Academy,"2509 Post Oak Tritt Road Marietta, GA 30062",Eagles,Navy & Gold,"navy, gold"
Newnan High School,"190 LaGrange Street Newnan, GA 30263",Cougars,"Navy, Gold, and White","navy, gold"
Pelham High School,"720 Barrow Avenue Pelham, GA 31779",Hornets,"Navy, Gold & White","navy, gold"
Prince Avenue Christian School,"2201 Ruth Jackson Road Bogart, GA 30622",Wolverines,Navy & Gold,"navy, gold"
Wheeler High School,"375 Holt Road Marietta, GA 30068",Wildcats,"Navy, Gold & White","navy, gold"
Discovery High School,"1335 Old Norcross Road Lawrenceville, GA 30046",Titans,"Navy, Gray & Lime Green","navy, gray"
Fellowship Christian School,"10965 Woodstock Road Roswell, GA 30075-7502",Paladins,"Navy, Gray & White","navy, gray"
Harrison High School,"4500 Due West Road Kennesaw, GA 30152-3855",Hoyas,"Navy, Kelly Green & White","navy, kelly green"
Atlanta Classical Academy,"3260 Northside Drive, NW Atlanta, GA 30305",Cavaliers,"Navy, Light Blue & White","navy, light blue"
B.E.S.T. Academy,"1190 Northwest Drive, NW Atlanta, GA 30318",Eagles,Navy & Old Gold,"navy, old gold"
Drew High School,"6237 Garden Walk Blvd Riverdale, GA 30274",Titans,Navy & Old Gold,"navy, old gold"
Taylor County High School,"52 R.L. McDougal Drive Butler, GA 31006",Vikings,"Navy, Old Gold & White","navy, old gold"
East Forsyth High School,"8910 Jot Em Down Road Gainesville, GA 30506",Broncos,"Navy, Orange, Gray","navy, orange"
Mundy's Mill High School,"9652 Fayetteville Road Jonesboro, GA 30238",Tigers,"Navy, Orange & White","navy, orange"
North Springs High School,"7447 Roswell Road Sandy Springs, GA 30328",Spartans,Navy & Orange,"navy, orange"
South Cobb High School,"1920 Clay Road Austell, GA 30106-2299",Eagles,"Navy, Orange, and White","navy, orange"
Taliaferro County High School,"557 Broad Street Crawfordville, GA 30631",Jaguars,Navy & Orange,"navy, orange"
Effingham County High School,"1589 Highway 119, South Springfield, GA 31329",Rebels,"Navy, Red & White","navy, red"
Heritage High School,"3960 Poplar Springs Road Ringgold, GA 30736",Generals,"Navy, Red & White","navy, red"
Lamar County High School,"1 Trojan Way Barnesville, GA 30204",Trojans,"Navy, Red & White","navy, red"
Providence Christian Academy,"4575 Lawrenceville Highway NW Lilburn, GA 30047-3617",Storm,"Navy, Red & Silver","navy, red"
