school_name,address,mascot,colors
Charlton County High School,"994 Indian Trail Folkston, GA 31537",Indians,Red & Black
Chattahoochee High School,"5230 Taylor Road Johns Creek, GA 30022-6015",Cougars,"Royal Blue, Gold & White"
Chattahoochee Co High School,"360 Hwy 26 Cusseta, Georgia 31805",Panthers,Black & Gold
Chattooga High School,"989 Highway 114 Summerville, GA 30747",Indians,Red & Black
Cherokee High School,"930 Marietta Highway Canton, GA 30114",Warriors,Red & White
Cherokee Bluff High School,"6603 Spout Springs Road Flowery Branch, GA 30542",Bears,Purple & Silver
Chestatee High School,"3005 Sardis Road Gainesville, GA 30506-2232",War Eagles,"Black, Silver & Maroon"
Christian Heritage School,"1600 Martin Luther King Jr. Blvd Dalton, GA 30721",Lions,Crimson & Gold
Clarke Central High School,"350 South Milledge Avenue Athens, GA 30605",Gladiators,Red & Gold
Clarkston High School,"618 North Indian Creek Drive Clarkston, GA 30021",Angoras,Green & Gold
Claxton High School,"602 Hendrix St. Ext Claxton, GA 30417",Tigers,Black & Gold
Clinch County High School,"1 Panther Way Homerville, GA 31634",Panthers,Red & White
Coahulla Creek High School,"3361 Crow Road Dalton, GA 30721-1022",Colts,Navy & Silver
Coffee High School,"159 Trojan Way Douglas, GA 31533",Trojans,Maroon & White
Collins Hill High School,"50 Taylor Road Suwanee, GA 30024",Eagles,"Green, Silver, Black & White"
Colquitt County High School,"105 Darbyshire Road Norman Park, GA 31771",Packers,Black & Gold
Columbia High School,"2106 Columbia Drive Decatur, GA 30032-7202",Eagles,Orange & Blue
Columbus High School,"1700 Cherokee Avenue Columbus, GA 31906",Blue Devils,Royal Blue & Orange
Commerce High School,"272 Lakeview Drive Commerce, GA 30529",Tigers,Black & Gold
Cook High School,"9900 Highway 37 Adel, GA 31620",Hornets,Black & Gold
Coosa High School,"4454 Alabama Hwy Rome, GA 30165",Eagles,"Black, White & Silver"
Coretta Scott King,"1190 Northwest Drive Atlanta, GA 30318",Eagles,Pink & Brown
Crawford County High School,"400 East Agency Street Roberta, GA 31078",Eagles,Purple & Gold
Creekside High School,"7405 Herndon Road Fairburn, GA 30213",Seminoles,Cardinal & Vegas Gold
Creekview High School,"1550 Owens Store Road Canton, GA 30115",Grizzlies,Blue & Green
Crisp County High School,"2402 Cougar Alley Cordele, GA 31015",Cougars,Royal Blue & Gold
Cross Creek High School,"3855 Old Waynesboro Road Augusta, Georgia 30906",RazorBacks,Cardinal & Vegas Gold
Cross Keys High School,"1626 N. Druid Hills Road NE Atlanta, GA 30319",Phoenix,Green & Gold
Dacula High School,"123 Broad Street Dacula, GA 30019",Falcons,"Navy, Vegas Gold & White"
Dade County High School,"300 Tradition Lane Trenton, GA 30752",Wolverines,Maroon & Gold
Dalton High School,"1500 Manly Street Dalton, GA 30720",Catamounts,Red & White
The Dalton Academy,"1250 Cross Plains Trail Dalton, Georgia 30720",Pumas,Red/White/Black
Darlington School,"1014 Cave Spring Road Rome, GA 30161-4700",Tigers,Purple & White
Davidson Fine Arts Magnet School,"615 Twelfth Street Augusta, GA 30901-2115",Titans,"Maroon, Silver & White"
Dawson County High School,"1665 Perimeter Road Dawsonville, GA 30534",Tigers,Maroon & Vegas Gold
Decatur High School,"310 North McDonough Street Decatur, GA 30030-3339",Bulldogs,Navy & Vegas Gold
DeKalb School of the Arts,"1192 Clarendon Avenue Avondale Estates, GA 30002",Fire Ant,Purple & Gold
Dr. Leila Denmark High School,"645 Mullinax Road Alpharetta, GA 30004",Danes,"Carolina Blue, Navy & White"
Discovery High School,"1335 Old Norcross Road Lawrenceville, GA 30046",Titans,"Navy, Gray & Lime Green"
Dodge County High School,"350 Pearl Bates Avenue Eastman, GA 31023",Indians,Red & White
Dooly County High School,"715 North 3rd Street Vienna, GA 31092",Bobcats,Cardinal & Gold
Dougherty Comp High School,"1800 Pearce Avenue Albany, GA 31705",Trojans,Maroon & White
Douglas County High School,"8705 Campbellton Street Douglasville, GA 30134-2299",Tigers,Navy & Vegas Gold
Douglass High School,"225 Hamilton E. Holmes Drive Atlanta, GA 30318",Astros,Black & Gold
Drew High School,"6237 Garden Walk Blvd Riverdale, GA 30274",Titans,Navy & Old Gold
Drew Charter School,"300 Eva Davis Way Atlanta, GA 30317",Eagles,Green & Vegas Gold
Druid Hills High School,"1798 Haygood Drive, NE Atlanta, GA 30307-1119",Red Devils,Red & Black
Dublin High School,"1127 Hillcrest Parkway Dublin, GA 31021-3646",Fighting Irish,Green & Gold
Duluth High School,"3737 Brock Road Duluth, GA 30096",Wildcats,"Purple, White & Black"
Dunwoody High School,"5035 Vermack Road Dunwoody, GA 30338-4626",Wildcats,"Red, White & Blue"
Dutchtown High School,"149 Mitchell Road Hampton, GA 30228",Bulldogs,Red & Black
Eagle's Landing High School,"301 Tunis Road McDonough, GA 30253",Golden Eagles,Blue & Gold
Eagle's Landing Christian,"2400 Highway 42 North McDonough, GA 30253",Chargers,Navy & Gold
Early County High School,"12020 Columbia Highway Blakely, GA 39823-1703",Bobcats,Blue & Gold
East Coweta High School,"400 HWY 154 Sharpsburg, GA 30277-9176",Indians,Purple & Gold
East Forsyth High School,"8910 Jot Em Down Road Gainesville, GA 30506",Broncos,"Navy, Orange, Gray"
East Hall High School,"3534 East Hall Road Gainesville, GA 30507",Vikings,Black & Gold
East Jackson Comp. High School,"1435 Hoods Mill Road Commerce, GA 30529",Eagles,Navy & Silver
East Laurens High School,"1010 East Highway 80 East Dublin, GA 31027",Falcons,Black & Gold
East Paulding High School,"3320 East Paulding Drive Dallas, GA 30157-4552",Raiders,"Black, Silver & White"
Eastside High School,"140 Highway 142 Covington, GA 30014",Eagles,Dark Green & Silver
Echols County High School,"190 Highway 94, East Post Office Box 40 Statenville, GA 31648",Wildcats,Green & White
Effingham County High School,"1589 Highway 119, South Springfield, GA 31329",Rebels,"Navy, Red & White"
Elbert County Comp High School,"600 Abernathy Circle Elberton, GA 30635",Blue Devils,Navy & White
Elite Scholars Academy,"7923 Fielder Road Jonesboro, GA 30236",Royal Knights,"Navy, Gold & White"
Emanuel County Institute,"102 College Street Post Office Box 218 Twin City, GA 30471",Bulldogs,Red & Black
Etowah High School,"6565 Putnam Ford Drive Woodstock, GA 30189-1501",Eagles,Royal Blue & White
Evans High School,"4550 Cox Road Evans, GA 30809-3402",Knights,Black & Gold
Fannin County High School,"360 Rebel Circle Blue Ridge, GA 30513",Rebels,Blue & Gray
Fayette County High School,"1 Tiger Trail Fayetteville, GA 30214",Tigers,Black & Gold
Fellowship Christian School,"10965 Woodstock Road Roswell, GA 30075-7502",Paladins,"Navy, Gray & White"
Fitzgerald High School,"553 Ocilla Highway Fitzgerald, GA 31750",Purple Hurricane,Purple & Gold
Flowery Branch High School,"4450 Hog Mountain Road Flowery Branch, GA 30542",Falcons,"Black, Red & White"
Forest Park High School,"5452 Phillips Drive Forest Park, GA 30297",Panthers,Wine & Gold
Forsyth Central High School,"131 Almon C Hill Drive Cumming, GA 30040",Bulldogs,Red & Black
Franklin County High School,"6570 Highway 145 Carnesville, GA 30521",Lions,Green & White
Furlow Charter School,"63 Valley Drive Americus, GA 31709",Falcons,Navy & Kelley Green
Gainesville High School,"830 Century Place Gainesville, GA 30501-3002",Red Elephants,Red & White
The Galloway School,"215 Chastain Park Avenue NW Atlanta, GA 30342",Scots,Navy & Gold
Georgia Academy for the Blind,"2895 Vineville Avenue Macon, GA 31204-2899",Panthers,Royal Blue & White
Fugees Academy,"4046 Chamblee Tucker Road Atlanta, GA 30340",N/A,Green and Yellow
Georgia Military College,"201 East Greene Street Milledgeville, GA 31061",Bulldogs,Red & Black
Georgia School for the Deaf,"232 Perry Farm Road SW Cave Spring, GA 30124",Tigers,Kelly Green & Gold
Georgia School for Innovation and the Classics,"5073 Storey Mill Road Hephzibah, GA 30815",Patriots,"Red, White & Blue"
Gilmer High School,"408 Bobcat Trail Ellijay, GA 30540",Bobcats,Purple & White
Glascock County High School,"1230 Panther Way Gibson, GA 30810",Panthers,Orange & Black
Glenn Hills High School,"2840 Glenn Hills Drive Augusta, GA 30906-3276",Spartans,Columbia Blue & Silver
Glynn Academy,"1001 Mansfield Street PO Box 1678 Brunswick, GA 31520-7349",Terrors,Red & White
Gordon Central High School,"335 Warrior Path Calhoun, GA 30701",Warriors,"Blue, Silver & White"
Gordon Lee High School,"105 Lee Circle Chickamauga, GA 30707",Trojans,Navy & White
Grayson High School,"50 Hope Hollow Road Loganville, GA 30052",Rams,"Hunter Green, Vegas Gold & Navy"
Greater Atlanta Christian School,"1575 Indian Trail Road Norcross, GA 30093-2614",Spartans,Red & Gold
Greenbrier High School,"5114 Riverwood Parkway Evans, GA 30809-6628",Wolf Pack,"Dark Green, Gray & Gold"
Greene County High School,"1002 South Main Street Greensboro, GA 30642",Tigers,"Gold, Black & White"
Greenforest Christian School,"3250 Rainbow Drive Decatur, GA 30034",Eagles,Green & Gold
Greenville High School,"17656 Roosevelt Hwy Post Office Box 340 Greenville, GA 30222",Patriots,"Red, White & Blue"
Griffin High School,"1617 West Poplar Street Griffin, GA 30224",Bears,Forest Green & Gold
Groves High School,"201 Rommel Avenue Savannah, GA 31408",Rebels,Black & Athletic Gold
Grovetown High School,"2010 Warrior Way Grovetown, GA 30813-8132",Warriors,"Navy, Silver, Red & White"
Habersham Central High School,"2059 State Highway 197 S. Mt. Airy, GA 30563",Raiders,"Blue, Silver & Orange"
Hampton High School,"795 Hampton-Locust Grove Road Hampton, GA 30228",Hornets,"Purple, Gold & Black"
Hancock Central High School,"11311 GA Hwy 15 North Sparta, GA 31087",Bulldogs,Maroon & Gold
Hapeville Charter Career Academy,"6045 Buffington Road, Building A Atlanta, GA 30349",Hornets,Navy & Vegas Gold
Haralson County High School,"1655 GA Highway 120 Tallapoosa, GA 30176",Rebels,Blue & Gray
Hardaway High School,"2901 College Drive Columbus, GA 31906",Golden Hawks,Gold & Scarlet
Harlem High School,"1070 Appling-Harlem Road Harlem, GA 30814",Bulldogs,Red & Black
Harris County High School,"8281 Georgia Highway 116 Hamilton, GA 31811",Tigers,Black & Gold
